S. No.,beta1,beta2,beta3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
35,0.4,1,0.1,0.907674461915012,14363499.0479122,100717178303.512,21697546983.7985,43139690.2454685,538794.467683809,57380.5471945787,1641931.19386828,37815.5962387285,74098.1801379004,277954.228007252,542676.28730733,40037604.7431857,185603.577734945,47.2468192577362
36,0.4,1,0.4,0.799984458751348,13001658.0940689,88742709599.2199,14950612488.6285,41138674.0416889,67580.407264826,12812.4362160655,235457.56371132,21392.5715728903,25507.0965621333,79769.9064396821,22003.2155311797,36621461.4279746,4896.38181486808,47.5949575901032
37,0.4,1,1,0.677019546974632,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,46.4782106876373
38,0.4,1,3,0.490405685269076,6281921.51360443,54400968465.7723,7364284827.69655,28279581.2405343,46610.4238639212,11160.2742892613,52647.4192766103,17523.8580484594,46185.7956484768,59918.0485978052,33031.9743161272,9257842.51500667,21912.520809331,48.098067522049
39,0.4,1,5,0.399693668448062,4935298.25344353,44338235274.0906,5851635570.01402,24523876.5987138,56286.2695160611,11994.8795697985,48956.2349582672,16078.3776180895,51955.5433342732,48381.8927641465,17577.4182154019,4937917.10843003,8725.12545269279,44.6091432571411
40,0.4,3,0.1,0.755675459356186,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,48.6730830669403
41,0.4,3,0.4,0.711064298660439,14255979.3241519,99024763265.9097,20061625916.9791,43051022.8495055,450673.987042068,18561.3997405236,1871774.29453567,27311.7661406616,71090.1937261439,264415.6409809,86925.903394802,39805317.6290625,16309.8004053074,45.5325736999512
42,0.4,3,1,0.549738008781596,13321286.9327996,90873453566.681,15746673253.7865,42304369.7908696,124872.187012205,13932.6055119956,471736.301057007,22304.4696825275,30187.3413147575,68344.7953603238,19787.5566858063,37056124.7163365,16502.8274059438,46.1202671527863
43,0.4,3,3,0.310315610612029,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,44.9047055244446
44,0.4,3,5,0.214552148444835,8109968.29281197,66442070600.3931,9266506811.78193,36613528.7375038,43805.7076317706,11781.5821837796,64427.0646437338,13786.2591816018,29251.7439557744,54635.1787467057,19182.3019918696,11945794.7916561,17613.8446843473,45.8526453971863
45,0.4,5,0.1,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,39.0284042358398
46,0.4,5,0.4,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,30.5124547481537
47,0.4,5,1,0.483591449261078,13936208.1810947,95928324164.4545,18053472879.8215,43057807.3507146,336494.430079923,30523.4878619351,1217579.80092299,28036.6694220305,28045.7603001321,102239.962035547,27704.8918178951,38951107.9449793,6540.22409530776,35.7029490470886
48,0.4,5,3,0.238444127535561,11727092.3888813,83277649949.6912,13285390582.1279,40226595.9483524,84983.1314146917,12620.7375308095,56870.2453937741,16704.411430281,35932.083092336,68135.9477926143,16287.3218684631,30048294.8059046,17091.7072185816,33.0540900230408
49,0.4,5,5,0.14223485661504,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,33.473840713501
50,1,0.1,0.1,0.932118431672872,14419784.4032651,92917350445.0651,17656768247.1172,43185572.9661184,99325.5837928049,17617.397917038,771580.43489896,12837.6852544063,93468.6727354444,156598.04290453,40254.714741,40226257.256142,2093553.45101903,32.5087413787842
51,1,0.1,0.4,0.814002145091297,12596228.2132981,80126135786.1597,14065454141.3195,38228164.1069366,48786.645747036,11251.6397296721,19169.8088599565,10226.120742484,39559.4627680183,44104.6949274052,18245.1271356529,35334107.0255776,2046590.84315826,28.0094256401062
52,1,0.1,1,0.666159630857341,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,35.7562289237976
53,1,0.1,3,0.451943446327344,7004681.91592086,41508217528.6556,8134159115.66957,20035074.2954482,56441.030036008,16010.4123996457,53558.2915972994,14399.9128836299,45460.6204762774,40827.4743578749,30083.9461430334,20296776.3385299,1584870.17280692,31.7655503749847
54,1,0.1,5,0.355162570969818,5510937.63085433,33685303614.1812,6540144424.85066,15645999.5427569,60278.3539884311,14832.457245396,59871.2391676156,24828.7141731041,35527.4221291287,49367.5027726762,26357.2923934786,15980077.5939885,1300039.19851222,39.5203726291656
55,1,0.4,0.1,0.932053704137094,14417957.8701074,93189424606.04,17668788587.2478,43176464.2667096,174232.383225342,18457.615514265,715768.958657713,14055.3448078507,131979.047319751,124431.248056264,23997.7576614672,40227485.1174095,2090865.18371,39.574481010437
56,1,0.4,0.4,0.814002145091297,12596228.2132981,80126135786.1597,14065454141.3195,38228164.1069366,48786.645747036,11251.6397296721,19169.8088599565,10226.120742484,39559.4627680183,44104.6949274052,18245.1271356529,35334107.0255776,2046590.84315826,40.1280937194824
57,1,0.4,1,0.666159630857341,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,33.6523349285126
58,1,0.4,3,0.451943446327344,7004681.91592086,41508217528.6556,8134159115.66957,20035074.2954482,56441.030036008,16010.4123996457,53558.2915972994,14399.9128836299,45460.6204762774,40827.4743578749,30083.9461430334,20296776.3385299,1584870.17280692,27.9392507076263
59,1,0.4,5,0.355162570969818,5510937.63085433,33685303614.1812,6540144424.85066,15645999.5427569,60278.3539884311,14832.457245396,59871.2391676156,24828.7141731041,35527.4221291287,49367.5027726762,26357.2923934786,15980077.5939885,1300039.19851222,28.4572927951813
60,1,1,0.1,0.907612650946453,14363326.7639476,100681963293.682,21667943075.8399,43164429.4002855,444544.962167392,33008.7940550778,1785591.9568086,29587.1786197032,79103.2766826468,207519.359483903,573424.935332762,40109070.3360413,38628.8206255362,36.2562248706818
61,1,1,0.4,0.799825686349624,13057221.7015408,88725096890.6424,14940619862.7011,41107043.7244493,83052.9398312901,10892.0217683093,220524.77894747,12457.2170376422,15915.5092850125,56517.7756284507,27022.6771413228,37014424.7331523,10420.152086408,27.0950577259064
62,1,1,1,0.665723701577715,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,39.948029756546
63,1,1,3,0.452771546559682,7023870.59839882,50595100866.3265,8117777223.87993,25378412.5008401,45489.4479727243,11164.4077324271,82874.5280577303,12404.7637311169,38210.1285606309,41065.4185076539,21875.1051355314,15188301.868475,1455245.72815438,35.9463534355164
64,1,1,5,0.356793188760224,5538601.31478465,42300943149.3091,6514084819.33154,21349716.2325646,69635.1738795191,10281.8934673803,45560.2233185591,12151.1124423927,30457.0682774276,40255.0741461846,36278.1332077274,11180424.9881899,579727.561974585,38.3419115543365
65,1,3,0.1,0.755675459356186,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,40.7532942295074
66,1,3,0.4,0.711064298660439,14255979.3241519,99024763265.9097,20061625916.9791,43051022.8495055,450673.987042068,18561.3997405236,1871774.29453567,27311.7661406616,71090.1937261439,264415.6409809,86925.903394802,39805317.6290625,16309.8004053074,34.8399600982666
67,1,3,1,0.549738008781596,13321286.9327996,90873453566.681,15746673253.7865,42304369.7908696,124872.187012205,13932.6055119956,471736.301057007,22304.4696825275,30187.3413147575,68344.7953603238,19787.5566858063,37056124.7163365,16502.8274059438,34.1910374164581
68,1,3,3,0.310315610612029,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,37.9205288887024
69,1,3,5,0.214552148444835,8109968.29281197,66442070600.3931,9266506811.78193,36613528.7375038,43805.7076317706,11781.5821837796,64427.0646437338,13786.2591816018,29251.7439557744,54635.1787467057,19182.3019918696,11945794.7916561,17613.8446843473,39.1145498752594
70,1,5,0.1,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,36.2749574184418
71,1,5,0.4,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,42.154337644577
72,1,5,1,0.483591449261078,13936208.1810947,95928324164.4545,18053472879.8215,43057807.3507146,336494.430079923,30523.4878619351,1217579.80092299,28036.6694220305,28045.7603001321,102239.962035547,27704.8918178951,38951107.9449793,6540.22409530776,37.4584083557129
73,1,5,3,0.238444127535561,11727092.3888813,83277649949.6912,13285390582.1279,40226595.9483524,84983.1314146917,12620.7375308095,56870.2453937741,16704.411430281,35932.083092336,68135.9477926143,16287.3218684631,30048294.8059046,17091.7072185816,38.3189544677734
74,1,5,5,0.14223485661504,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,35.5651071071625
75,3,0.1,0.1,0.8725338946693,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,36.3091819286346
76,3,0.1,0.4,0.782853008688616,14256607.3618281,90304792907.8421,15996964051.0184,43164780.4811974,43103.8239872048,10507.7095512622,69627.991480378,9175.72125238702,44760.2020310552,81919.8214097845,18734.4192910397,40246261.6875261,2093945.40399606,39.4887659549713
77,3,0.1,1,0.587779339857786,12960488.4738333,83857464048.8473,14416282454.0324,38894061.9184138,30548.582957119,5953.99865434408,37184.7665978454,9044.21051968436,26017.1391627615,33735.4708371403,24062.1965353715,37518831.370079,1401438.45856206,33.9944241046906
78,3,0.1,3,0.295620762590802,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,37.8366129398346
79,3,0.1,5,0.181599184180222,8759797.73454034,54718207924.2685,10096247762.265,25201050.9535723,62829.184157297,16415.7308236757,75791.8984534724,15183.6605576515,39693.1241375795,60110.1827090587,27235.6438870925,25341473.687443,1892188.23717424,29.5640087127686
80,3,0.4,0.1,0.8725338946693,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,37.6377141475677
81,3,0.4,0.4,0.782853008688616,14256607.3618281,90304792907.8421,15996964051.0184,43164780.4811974,43103.8239872048,10507.7095512622,69627.991480378,9175.72125238702,44760.2020310552,81919.8214097845,18734.4192910397,40246261.6875261,2093945.40399606,37.8843238353729
82,3,0.4,1,0.587779339857786,12960488.4738333,83857464048.8473,14416282454.0324,38894061.9184138,30548.582957119,5953.99865434408,37184.7665978454,9044.21051968436,26017.1391627615,33735.4708371403,24062.1965353715,37518831.370079,1401438.45856206,40.9784440994263
83,3,0.4,3,0.295620762590802,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,37.6284537315369
84,3,0.4,5,0.181599184180222,8759797.73454034,54718207924.2685,10096247762.265,25201050.9535723,62829.184157297,16415.7308236757,75791.8984534724,15183.6605576515,39693.1241375795,60110.1827090587,27235.6438870925,25341473.687443,1892188.23717424,41.2445831298828
85,3,1,0.1,0.8725338946693,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,34.9695494174957
86,3,1,0.4,0.782853008688616,14256607.3618281,90304792907.8421,15996964051.0184,43164780.4811974,43103.8239872048,10507.7095512622,69627.991480378,9175.72125238702,44760.2020310552,81919.8214097845,18734.4192910397,40246261.6875261,2093945.40399606,36.0767302513123
87,3,1,1,0.587779339857786,12960488.4738333,83857464048.8473,14416282454.0324,38894061.9184138,30548.582957119,5953.99865434408,37184.7665978454,9044.21051968436,26017.1391627615,33735.4708371403,24062.1965353715,37518831.370079,1401438.45856206,36.4481589794159
88,3,1,3,0.295620762590802,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,41.5055797100067
89,3,1,5,0.181599184180222,8759797.73454034,54718207924.2685,10096247762.265,25201050.9535723,62829.184157297,16415.7308236757,75791.8984534724,15183.6605576515,39693.1241375795,60110.1827090587,27235.6438870925,25341473.687443,1892188.23717424,30.1816418170929
