S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
38,0.4,0.6,0.8,0.589058218350426,9853168.83064642,73385424133.6895,11215729748.1541,38210444.6028756,59228.876547561,15018.1138119754,56099.3428813159,14874.0174143165,24278.2320736622,47809.7471720101,33374.2199168334,20679400.147997,169892.214808848,48.9457314014435
39,0.4,0.6,1,0.575410848140104,9637131.22862927,71862050451.5389,10916031987.4579,36558769.6201108,40828.856280454,10749.0560671266,75708.1185438749,13957.3869885456,27381.6970917759,31233.2402843548,24431.661844006,21201633.4640651,10444.0754362515,47.2247262001038
40,0.4,0.8,0.2,0.626604730063644,10765303.7105993,79025555942.2023,12255083610.1758,39341407.6325718,72504.2441604032,20881.3691332408,69598.5025977941,17012.4183191605,31394.4936312638,40817.5894483342,25938.4960302726,25171792.9606485,9361.26255462477,48.0759258270264
41,0.4,0.8,0.4,0.612726080740311,10420109.2149746,77671051866.6271,11927720058.3126,39401516.9775205,50362.5510942477,21391.0426155696,85587.6518493255,17567.2392776061,39937.7845464284,69261.4902265027,25361.6806256248,23003801.8263422,7367.46242373117,46.8908758163452
42,0.4,0.8,0.6,0.600033264001999,10178419.4793545,76447759022.3532,11599855965.1268,39195566.7882027,66405.8687773268,18526.0134526592,60635.9869115661,12760.7770327379,34488.4994658959,58560.6250221757,25280.0797182637,21742215.2774761,52748.6024839974,46.7653152942657
43,0.4,0.8,0.8,0.586318321907988,9879922.30274613,75084036736.4248,11291263934.2641,39420024.927669,44434.8618706699,20511.2528469858,71880.1366403366,14463.7796952182,43725.4243217785,59500.2020591439,25806.222225074,19754269.645601,14199.8113673424,45.5594842433929
44,0.4,0.8,1,0.573561396992287,9681656.55819828,73836084537.2377,10985097979.7913,39060326.5581983,43852.8422095879,21463.1357425352,66662.5661752382,8810.58226613963,41537.4649386295,38735.8169298079,16371.119876753,18958671.3581247,10910.6910044301,49.0802390575409
45,0.4,1,0.2,0.61838054854335,11054028.2695517,80414004829.4836,12534914188.6881,39400991.9481816,54300.0418090918,13853.4074162146,58039.3439871589,11807.0501010637,32320.2803342325,75356.5136091166,27389.5002070908,26840048.7834003,16358.5700416143,48.2399833202362
46,0.4,1,0.4,0.604933499780249,10737845.7461158,79066548544.3261,12200443853.4537,38483369.8839167,79232.9664523002,16033.6973089187,65915.2413729169,8495.41066455782,29611.1415544031,73180.1244934601,18213.2707168157,25820490.0279981,33870.2708214465,46.3083889484406
47,0.4,1,0.6,0.589627585853039,10564095.0221705,77704698047.7755,11934726964.4384,38932931.2696541,38353.5722468559,15108.1899361916,55978.0975498634,13451.0712635864,27090.9290525812,58170.5410514727,22964.7671250266,24393916.5901351,22005.3516772834,45.0960476398468
48,0.4,1,0.8,0.576616917624033,10116237.0640264,76379198159.2412,11604242422.6203,38385733.0989458,53495.1843899958,23498.222766106,99682.7439319056,16505.0347244228,33827.8828812795,63228.7161471776,24302.8528481635,22191414.9991284,1400.51703723406,47.2305998802185
49,0.4,1,1,0.563102551817643,9933602.80839788,75077647810.7899,11296220885.6879,38147621.9426202,71160.6258682098,12883.5118799862,64991.3741330666,18267.1267372343,36576.9547564992,31904.8173398501,20034.3148356271,21336868.7232185,48985.8363866269,48.3534636497498
50,0.6,0.2,0.2,0.628164327440218,10734201.6164592,73260767384.4173,12198324433.0971,34027611.2193605,57302.871874378,12066.7898348825,72176.4895131092,13391.206397185,43550.6646357177,56855.3791763327,24356.4262667118,30270688.992474,22748.8135565616,46.0002343654633
51,0.6,0.2,0.4,0.612737683893465,10517674.541385,72020648912.4438,11939773435.5685,32767658.1612197,38513.6823499693,12458.4513081308,48863.6447297255,20256.481152544,55204.5944225641,67325.9503208805,18562.5560541184,29810369.379017,464186.653199112,44.6751441955566
52,0.6,0.2,0.6,0.597750234193623,10317939.2314048,70176451608.6562,11673162864.1089,32977209.9523359,45522.1341646694,15572.5196817184,54057.3331815239,12463.291500444,32420.0397918255,42011.1052954948,26501.1629053965,28049055.6658193,843999.124610398,45.2693314552307
53,0.6,0.2,0.8,0.582163320708913,10095497.915417,68596961090.3152,11430782637.1708,32242598.1263484,51072.3820495764,13649.5449980464,49262.0516844911,12563.4785936673,43462.4611961574,51567.2348184197,17446.0772085294,27220640.48232,1056700.27275183,38.2605714797974
54,0.6,0.2,1,0.56439801692096,9834568.63751716,67580327503.5329,11263532222.5248,31858732.0691419,61993.5972999974,16107.4315596796,39364.8557419866,16003.730296738,64046.1108083083,62865.8238764623,28775.6953131922,25526809.6434573,1526642.25365113,29.8639936447144
55,0.6,0.4,0.2,0.629738590717859,10770267.003084,75517234210.6693,12148570655.3048,37791201.8215993,41297.1775759403,8264.17303767031,45691.4758265785,17468.8351755243,49445.3582797091,38500.2568098245,21829.1414066439,26690434.8609038,110831.929446631,36.3899130821228
56,0.6,0.4,0.4,0.613820856751125,10533259.1516578,73569545477.2849,11906407159.4581,33565795.1519561,63372.0396695087,6989.6821611076,46212.2653648709,9485.14348591117,46027.9271586116,50986.4817197569,21847.0823434416,28897878.7292789,678881.998829341,32.2380049228668
57,0.6,0.4,0.6,0.597863279424536,10316191.9665122,71954672755.9641,11669530870.1897,36818131.894859,50020.7410783634,23156.4015774361,38770.1379002765,11949.1956797779,42841.7703401059,55306.3148022831,12066.1787992424,24595168.6491817,447000.963444123,34.2161390781403
58,0.6,0.4,0.8,0.581404834459537,10072938.1617907,70500416283.7662,11454504657.3014,33182351.8942214,57834.7104707091,13780.3456742088,50399.3432977858,18438.8083314926,35886.9383158336,38920.8941155492,31439.0988048341,27005431.1098088,197755.200147389,32.6120283603668
59,0.6,0.4,1,0.566348809986303,9855388.07478347,68669600933.0393,11188975123.3513,32918169.9314758,52726.8274823126,14024.0488127966,50743.706547062,17002.2479091515,54345.3455214924,33352.3388217194,18183.7932809431,25620330.0102666,536866.694749753,32.2624850273132
60,0.6,0.6,0.2,0.630427336144405,10765812.6179093,77494574342.4871,12112038147.5431,38421635.7699925,37739.4400761154,14733.5289119691,55549.2062675772,7972.90384140474,31631.8867558698,32853.5839729939,25177.858378107,26102490.7215091,55146.158203116,34.2553360462189
61,0.6,0.6,0.4,0.613729609850089,10534295.6053919,75623483136.8249,11909421028.9026,37358633.655289,48373.7888120744,12110.7285193436,37132.2335514109,11574.5509335846,36946.1770902432,68970.1405771526,23825.3061074178,25475794.2623884,328825.111153116,34.8371858596802
62,0.6,0.6,0.6,0.597214043723089,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,40.0555956363678
63,0.6,0.6,0.8,0.581963699401007,10089554.0333143,72609724362.9572,11437024641.0092,38092157.5906272,67469.4099710329,9187.3816292251,64981.6060522964,9149.30216893894,44573.9122208101,20067.6739545813,26977.805309944,22284698.6495946,96138.4937089583,40.0269701480866
64,0.6,0.6,1,0.56539699123301,9852373.21898803,70686226455.392,11233069964.7131,36603027.4244683,53402.9387761898,12528.9421579989,59288.1404608181,17060.5493014168,40457.893684829,52918.6778734315,29093.6223634443,22333564.1496429,100845.764092385,38.4304306507111
65,0.6,0.8,0.2,0.628004993214489,10808353.9742094,79183547496.5293,12207483761.0148,39198691.5364325,42443.4070713092,16990.3684974864,46939.1937818356,20060.6912434382,29906.2376612646,52166.0090643522,19544.1727177905,25610244.3944034,19504.4487396896,30.209623336792
66,0.6,0.8,0.4,0.612860678629082,10613359.4025133,77737691225.9665,11938126884.2806,38869988.8264376,37413.7593419552,7206.14655251182,52888.0950904881,16619.2023568125,26131.6253358195,46562.8170867899,20271.2629130892,24730323.4667346,62742.2335640058,28.1888403892517
67,0.6,0.8,0.6,0.597751173640117,10342380.7133839,76271673831.0135,11673132680.0016,39016070.1800877,36888.7180126079,9291.82162322682,37415.8818003191,12790.9628872583,49415.6853167368,46076.8574374814,25151.6720768568,22745677.6186445,261702.049795995,31.3401217460632
68,0.6,0.8,0.8,0.582242416659509,10116882.988993,74785522673.4157,11428309614.5171,37190229.179984,38299.2466313729,17660.6887223616,36584.6373070631,10905.4330845035,31104.1783341458,53713.5388764957,25359.8156291861,23411779.2195395,76864.4596489299,33.9412548542023
